	annual_mean_scale	annual_vol_scale	shift_oct_mar	shift_apr_may	et_multiplier	acreage_multiplier	irrigation_efficiency	recharge_decline	urban_wet_year_demand_reduction	omr_probability	omr_flow	delta_outflow_multiplier
0	1	1	0	0	1	1	0.25	0	1	0.05	-2000	1
1	0.719726563	0.567675781	0.259277344	0.338378906	0.780273438	1.407226563	0.118359375	0.449707031	0.625732422	0.017333984	-4150.390625	0.754882813
2	0.661132813	0.567675781	0.259277344	0.338378906	0.780273438	1.407226563	0.118359375	0.449707031	0.625732422	0.017333984	-4150.390625	0.754882813
3	0.719726563	0.768652344	0.259277344	0.338378906	0.780273438	1.407226563	0.118359375	0.449707031	0.625732422	0.017333984	-4150.390625	0.754882813
4	0.719726563	0.567675781	0.071777344	0.338378906	0.780273438	1.407226563	0.118359375	0.449707031	0.625732422	0.017333984	-4150.390625	0.754882813
5	0.719726563	0.567675781	0.259277344	0.185058594	0.780273438	1.407226563	0.118359375	0.449707031	0.625732422	0.017333984	-4150.390625	0.754882813
6	0.719726563	0.567675781	0.259277344	0.338378906	1.219726563	1.407226563	0.118359375	0.449707031	0.625732422	0.017333984	-4150.390625	0.754882813
7	0.719726563	0.567675781	0.259277344	0.338378906	0.780273438	0.844726563	0.118359375	0.449707031	0.625732422	0.017333984	-4150.390625	0.754882813
8	0.719726563	0.567675781	0.259277344	0.338378906	0.780273438	1.407226563	0.496484375	0.449707031	0.625732422	0.017333984	-4150.390625	0.754882813
9	0.719726563	0.567675781	0.259277344	0.338378906	0.780273438	1.407226563	0.118359375	0.362792969	0.625732422	0.017333984	-4150.390625	0.754882813
10	0.719726563	0.567675781	0.259277344	0.338378906	0.780273438	1.407226563	0.118359375	0.449707031	0.641845703	0.017333984	-4150.390625	0.754882813
11	0.719726563	0.567675781	0.259277344	0.338378906	0.780273438	1.407226563	0.118359375	0.449707031	0.625732422	0.137451172	-4150.390625	0.754882813
12	0.719726563	0.567675781	0.259277344	0.338378906	0.780273438	1.407226563	0.118359375	0.449707031	0.625732422	0.017333984	4501.953125	0.754882813
13	0.719726563	0.567675781	0.259277344	0.338378906	0.780273438	1.407226563	0.118359375	0.449707031	0.625732422	0.017333984	-4150.390625	1.040039063
14	0.719726563	0.768652344	0.071777344	0.185058594	1.219726563	0.844726563	0.496484375	0.362792969	0.641845703	0.137451172	4501.953125	1.040039063
15	0.661132813	0.567675781	0.071777344	0.185058594	1.219726563	0.844726563	0.496484375	0.362792969	0.641845703	0.137451172	4501.953125	1.040039063
16	0.661132813	0.768652344	0.259277344	0.185058594	1.219726563	0.844726563	0.496484375	0.362792969	0.641845703	0.137451172	4501.953125	1.040039063
17	0.661132813	0.768652344	0.071777344	0.338378906	1.219726563	0.844726563	0.496484375	0.362792969	0.641845703	0.137451172	4501.953125	1.040039063
18	0.661132813	0.768652344	0.071777344	0.185058594	0.780273438	0.844726563	0.496484375	0.362792969	0.641845703	0.137451172	4501.953125	1.040039063
19	0.661132813	0.768652344	0.071777344	0.185058594	1.219726563	1.407226563	0.496484375	0.362792969	0.641845703	0.137451172	4501.953125	1.040039063
20	0.661132813	0.768652344	0.071777344	0.185058594	1.219726563	0.844726563	0.118359375	0.362792969	0.641845703	0.137451172	4501.953125	1.040039063
21	0.661132813	0.768652344	0.071777344	0.185058594	1.219726563	0.844726563	0.496484375	0.449707031	0.641845703	0.137451172	4501.953125	1.040039063
22	0.661132813	0.768652344	0.071777344	0.185058594	1.219726563	0.844726563	0.496484375	0.362792969	0.625732422	0.137451172	4501.953125	1.040039063
23	0.661132813	0.768652344	0.071777344	0.185058594	1.219726563	0.844726563	0.496484375	0.362792969	0.641845703	0.017333984	4501.953125	1.040039063
24	0.661132813	0.768652344	0.071777344	0.185058594	1.219726563	0.844726563	0.496484375	0.362792969	0.641845703	0.137451172	-4150.390625	1.040039063
25	0.661132813	0.768652344	0.071777344	0.185058594	1.219726563	0.844726563	0.496484375	0.362792969	0.641845703	0.137451172	4501.953125	0.754882813
26	0.661132813	0.768652344	0.071777344	0.185058594	1.219726563	0.844726563	0.496484375	0.362792969	0.641845703	0.137451172	4501.953125	1.040039063
