,,,,,,,,,,,,Table 23,,
,,,U. S. Department of Interior - Bureau of Reclamation,,,,,,,,,,,
,,,,Central Valley Operations Office,,,,,,,,,,
,,,,Madera Canal and Millerton Lake,,,,,,,,,,
,,,,,2016,,,,,,,,,
Monthly Deliveries in AF,,,,,,,,,,,,,,
Water Users,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Chowchilla WD,MADERA CANAL,0,0,3885,15605,2108,17980,18579,5050,0,0,0,0,63207
Madera ID,MADERA CANAL,0,0,3725,16735,17562,"21,729","21,374",0,333,0,0,0,81458
Soquel (Madera non-proj.),MADERA CANAL,6,7,6,6,6,8,7,7,6,6,6,3,74
Total,MADERA CANAL,6,7,7616,32346,19676,39717,39960,5057,339,6,6,3,144739
County of Madera,MILLERTON LAKE,1,1,1,2,2,3,3,4,3,1,2,1,24
Fresno County Wks #18,MILLERTON LAKE,4,5,6,7,10,13,15,13,11,11,7,5,107
Gravelly Ford WD,MILLERTON LAKE,0,0,23,1185,332,0,0,0,0,0,0,0,1540
Total,MILLERTON LAKE,5,6,30,1194,344,16,18,17,14,12,9,6,1671
Notes:,,Data provided by South-Central California Area Office-Fresno,,,,,,,,,,,,
,,Delivery data is based on District turn-out readings and may include water in addition to water service contract deliveries.,,,,,,,,,,,,
