,,,,,,,,,,,,Table 23,,
,,,U. S. Department of Interior - Bureau of Reclamation,,,,,,,,,,,
,,,,Central Valley Operations Office,,,,,,,,,,
,,,,Madera Canal and Millerton Lake,,,,,,,,,,
,,,,,2015,,,,,,,,,
Monthly Deliveries in AF,,,,,,,,,,,,,,
Water Users,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Chowchilla WD,MADERA CANAL,0,0,0,0,0,258,269,0,0,0,0,0,527
Madera ID,MADERA CANAL,0,0,0,0,0,"2,737","3,638","1,607",0,0,0,0,7982
Soquel (Madera non-proj.),MADERA CANAL,3,3,5,6,7,7,8,7,6,6,3,5,66
Total,MADERA CANAL,3,3,5,6,7,3002,3915,1614,6,6,3,5,8575
County of Madera,MILLERTON LAKE,2,2,3,3,3,3,4,3,3,2,1,1,30
Fresno County Wks #18,MILLERTON LAKE,6,5,7,9,9,12,12,13,11,9,6,5,104
Gravelly Ford WD,MILLERTON LAKE,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,MILLERTON LAKE,8,7,10,12,12,15,16,16,14,11,7,6,134
Notes:,,Data provided by South-Central California Area Office-Fresno,,,,,,,,,,,,
,,Delivery data is based on District turn-out readings and may include water in addition to water service contract deliveries.,,,,,,,,,,,,
