,,,,,,,,,,,,T,able 23,
,,,U.,S. Dep,artment,of Inter,ior - Bu,reau of,Reclamat,ion,,,,
,,,,C,entral,Valley Op,erations,Office,,,,,,
,,,,Made,ra Cana,l and Mil,lerton L,ake,,,,,,
,,,,,,2010,,,,,,,,
Monthly Deliveries in,,AF,,,,,,,,,,,,
Water Users,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Chowchilla WD,MADERA CANAL,0,0,0,19391,34074,31090,28033,29057,8766,0,0,0,150411
Madera ID,MADERA CANAL,0,0,1249,18060,20815,25470,26956,45805,16682,15214,0,0,170251
Soquel (Madera non-,MADERA CANAL,0,0,4,4,4,4,4,4,8,8,7,6,53
County of Madera,MILLERTON LAKE,2,1,1,1,2,3,4,6,4,2,1,1,28
Fresno County # 18,MILLERTON LAKE,8,5,6,7,10,16,19,18,14,10,7,5,125
Gravelly Ford WD,MILLERTON LAKE,0,0,0,910,2146,2871,351,250,0,282,0,0,6810
