,,,,,,,,,,,,,,Table 23
,,,,,U.S.,Depart,ment o,f Inte,rior -,Burea,u of R,eclama,tion,
,,,,,,Centr,al Val,ley Op,eratio,ns Off,ice,,,
,,,,,,,,,,,,,,
,,,,,,Mader,a Cana,l and,Miller,ton La,ke,,,
Monthly Deliveries,,in AF,,,,,2000,,,,,,,
Water Users,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Chowchilla WD,MADERA CANAL,0,149,4096,17516,20595,27341,30330,15965,12107,0,0,0,128099
Madera ID,MADERA CANAL,0,0,2773,15628,22594,24636,21362,19980,128,11988,296,0,119385
Soquel,MADERA CANAL,0,0,0,0,0,0,0,0,11491,0,0,0,11491
County of Madera,MILLERTON LAKE,2,1,2,3,5,6,8,7,5,5,2,0,46
Fresno County # 18,MILLERTON LAKE,5,4,8,9,14,18,23,20,15,13,7,7,143
Gravelly Ford WD,MILLERTON LAKE,0,0,460,1278,1421,1611,161,0,64,212,0,0,5207
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
