,,,,,,,,,,,,,,Table 23
,,,,,U. S.,Depart,ment o,f Inte,rior -,Bureau,of R,eclama,tion,
,,,,,,Centra,l Vall,ey Ope,rations,Offic,e,,,
,,,,,,,,,,,,,,
,,,,,M,adera,Canal,and Mi,llerton,Lake,,,,
Monthly Deliveries,,in AF,,,,,,,,,,,,
Water Users,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Chowchilla WD,MADERA CANAL,0,0,0,8394,3511,18401,17502,15945,NR,1738,0,0,65491
Madera ID,MADERA CANAL,0,0,0,7736,23366,27045,23681,19299,NR,2132,0,0,103259
Soquel,MADERA CANAL,0,0,0,0,0,0,0,5891,2000,0,0,0,7891
County of Madera,MILLERTON LAKE,2,1,2,3,6,7,7,7,NR,6,2,1,44
Fresno County # 18,MILLERTON LAKE,5,4,6,10,7,22,19,17,NR,15,8,6,119
Gravelly Ford WD,MILLERTON LAKE,0,0,0,0,0,0,933,1413,NR,209,0,0,2555
