,,,,,,,,,,,,T,able 23,
,,,U.,S. Dep,artment,of Inter,ior - Bu,reau of,Reclamati,on,,,,
,,,,C,entral,Valley Op,erations,Office,,,,,,
,,,,Made,ra Cana,l and Mil,lerton L,ake,,,,,,
,,,,,,2008,,,,,,,,
Monthly Deliveries,,in AF,,,,,,,,,,,,
Water Users,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Chowchilla WD,MADERA CANAL,0,0,0,0,0,24661,31657,8541,0,0,0,0,64859
Madera ID,MADERA CANAL,0,0,0,10243,20325,22558,26959,19892,121,0,0,0,100098
Soquel,MADERA CANAL,0,0,4,4,4,2004,3004,941,4,4,4,0,5973
County of Madera,MILLERTON LAKE,1,1,2,4,4,4,5,6,5,4,2,1,39
Fresno County # 18,MILLERTON LAKE,5,6,8,12,17,19,20,23,14,15,5,7,151
Gravelly Ford WD,MILLERTON LAKE,0,0,0,1216,2022,1891,2011,811,0,0,0,0,7951
