,,,,`,,,,,,,,,,Table 35
,,,,U.S. D,epartme,nt of I,nterior,#NAME?,au of R,eclamat,ion,,,
,,,,,Centra,l Valle,y Opera,tions O,ffice,,,,,
,,,,San Lu,is and,Cross V,alley C,anals,,,,,,
,,,,,,,,,,,,,,
Monthly Deliveries i,,n AF,,,,1997,,,,,,,,
Water User,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
City of Avenal,SAN LUIS CANAL,145,127,171,202,231,242,265,257,209,240,178,165,2432
Broadview WD,SAN LUIS CANAL,0,1,1,2,1,2,2,1,1,1,1,1,14
City of Coalinga,SAN LUIS CANAL,159,210,226,411,451,469,620,523,334,560,220,220,4403
City of Dos Palos,SAN LUIS CANAL,59,62,101,123,162,166,174,167,140,116,78,63,1411
City of Huron,SAN LUIS CANAL,46,44,75,86,93,97,106,101,90,96,67,49,950
Pacheco WD,SAN LUIS CANAL,1,745,1677,302,1493,2317,2678,2119,110,43,104,1,11590
Panoche WD,SAN LUIS CANAL,1824,2836,4625,4011,6914,13251,15120,8092,1271,219,835,875,59873
San Luis WD,SAN LUIS CANAL,1458,3803,6273,5473,7079,12445,16304,8651,1444,1034,422,323,64709
Westlands WD (Federa,SAN LUIS CANAL,52330,81891,123238,102651,170850,245354,242441,167826,39336,40730,29683,29459,1325789
Phase I  - Chargeabl,SAN LUIS CANAL,30,0,0,4,8,0,0,0,0,17,11,31,101
Phase I - Non-charge,SAN LUIS CANAL,3,0,7,11,8,0,0,0,0,15,0,2,46
State of Calif - Lat,SAN LUIS CANAL,0,0,11,0,0,0,0,0,0,0,0,0,11
Oneill Forebay Wildl,O'NEILL FOREBAY DELIVERIES,14,0,7,56,74,32,11,7,19,139,69,37,465
San Luis WD - Ag,O'NEILL FOREBAY DELIVERIES,98,841,1527,1377,2614,3156,4118,2687,944,617,283,12,18274
San Luis WD - M&I,O'NEILL FOREBAY DELIVERIES,26,22,34,37,44,46,51,52,24,69,29,28,462
VA Cemetary,O'NEILL FOREBAY DELIVERIES,1,1,1,3,3,3,7,3,3,4,2,2,33
Arvin Edison WSD,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kern-Tulare,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Pixley ID,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Rag Gulch,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Clara,SAN FELIPE DIVISION,12457,4410,7383,14782,14163,11818,8604,5630,7199,2293,814,1793,91346
San Benito,SAN FELIPE DIVISION,1238,2989,1205,2999,5610,5719,5835,5725,4405,2542,1337,242,39846
