,,,,,,,,,,,,,,Table 26
,,,,U.S. D,epartme,nt of I,nterior,#NAME?,au of R,eclamat,ion,,,
,,,,,Centra,l Valle,y Opera,tions O,ffice,,,,,
,,,,,San Lu,is and,Cross V,alley C,anals,,,,,
,,,,,,199,9,,,,,,,
Monthly Deliveries in,,AF,,,,,,,,,,,,
Water User,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
City of Avenal,SAN LUIS CANAL,164,148,173,159,197,233,272,255,214,246,188,177,2426
Broadview WD,SAN LUIS CANAL,0,1,0,0,1,2,0,0,7,3,2,1,17
City of Coalinga,SAN LUIS CANAL,306,239,212,276,440,568,594,591,479,409,367,258,4739
City of Dos Palos,SAN LUIS CANAL,71,62,75,91,140,155,173,156,123,120,22,161,1349
City of Huron,SAN LUIS CANAL,55,56,68,97,98,98,110,99,75,92,78,59,985
Pacheco WD,SAN LUIS CANAL,49,881,638,1003,1404,876,2142,1306,261,16,103,63,8742
Panoche WD,SAN LUIS CANAL,3787,3652,2454,3064,6359,12072,15067,8350,1543,642,185,1045,58220
San Luis WD,SAN LUIS CANAL,2442,4700,4152,4006,8036,11279,14786,8806,2827,2415,1537,455,65441
Westlands WD (Federal,SAN LUIS CANAL,105036,83397,68966,73829,145945,217728,232321,152175,44530,45602,27313,31149,1227991
Phase I  - Chargeable,SAN LUIS CANAL,11,5,0,2,3,12,19,0,0,15,53,0,120
Phase I - Non-chargea,SAN LUIS CANAL,0,0,3,3,0,0,5,0,18,0,0,0,29
Fish & Game - Lateral,SAN LUIS CANAL,0,0,1,1,1,1,1,1,1,1,1,1,10
Oneill Forebay Wildli,O'NEILL FOREBAY DELIVERIES,52,47,31,70,75,218,167,225,216,172,72,119,1464
San Luis WD - Ag,O'NEILL FOREBAY DELIVERIES,254,1095,750,985,1559,2706,3718,2549,874,697,61,109,15357
San Luis WD - M&I,O'NEILL FOREBAY DELIVERIES,28,37,33,56,40,55,66,11,66,46,30,28,496
VA Cemetary,O'NEILL FOREBAY DELIVERIES,2,2,3,2,4,5,6,5,5,4,2,3,43
Arvin Edison WSD,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kern-Tulare,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Pixley ID,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Rag Gulch,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Clara,SAN FELIPE DIVISION,9529,7978,10760,9661,13881,14392,12582,13193,8319,6998,3301,6339,116933
San Benito,SAN FELIPE DIVISION,466,370,185,1247,2958,3471,3450,3963,3479,2611,262,21,22483
