,alfalfa,almond,apple,citrus,corn,cotton,deciduous_misc,field_misc,grain,grape,melon,pasture,peach,pistachio,potatoe,strawberry,subtropical_misc,walnut
0,1.660914615947591,5.461148841562833,0.2328,1.1540771349862262,0.4185015576323988,2.9109773452519287,0.966711336429364,1.0875015576323988,0.8173085399449036,23.690719486951462,0.0,0.058,0.065,1.6071680409611715,0.043,0.0,0.060881542699724525,0.24
1,1.6347212537837592,5.582639338988373,0.1448,1.3719743415652292,0.274072135785007,1.441990099009901,1.0472380952380953,0.7643663366336634,0.426,25.639913072940733,0.0,0.058,0.116,1.8394302653497554,0.075,0.0,0.07059197725428815,0.4822630834512023
2,1.693,5.280923862521117,0.1298,1.2772947813822286,0.307,0.2973733681462141,0.9480000000000001,0.78,0.10262402088772846,26.346018724253472,0.1,0.0,0.07,1.9624194555308232,0.15,0.0,0.12000000000000001,0.453555787278415
3,1.4217142857142857,5.493581624681873,0.0649,1.2671408450704225,0.383,0.2814025157232704,0.9562555391432792,0.6599999999999999,0.079,25.561134313996238,0.0,0.0,0.063,2.2903250883922133,0.195,0.0,0.05,0.453555787278415
4,0.969,4.697287689245702,0.0,1.2762947813822287,0.307,0.40797175141242936,0.9970000000000001,0.39,0.20962146892655367,24.394623759975538,0.005,0.0,0.054,2.299000549057552,0.043,0.0,0.024,0.56
5,0.768,3.748148780487805,0.017,1.283,0.029,0.16265853658536586,0.887,0.491,0.845,22.29391200668642,0.0,0.0,0.054,2.3870975609756093,0.0,0.0,0.33900311526479754,0.56
6,0.8976000000000001,5.293768421052631,0.017,1.575,0.089,0.179,0.867,0.432,0.16,25.383531578947366,0.0,0.0,0.064,2.668,0.075,0.077,0.32,0.56
7,0.7606,5.960769170741663,0.017,1.6962151997880595,0.451625730994152,0.174,0.8471560178306091,0.0,0.132,26.523157849682168,0.0,0.0,0.116,3.0761889549399597,0.075,0.20059707602339186,0.42000000000000004,0.56
8,0.5871000000000001,6.647691606317081,0.017,1.7323934282584879,0.25207418397626113,0.129,0.6539999999999999,0.17,0.34,27.987201796652116,0.0,0.0,0.045,3.616680142066086,0.0,0.4264688427299703,0.42000000000000004,0.56
9,0.4223,7.920194578627239,0.017,1.566092480620155,0.135,0.1426954436450839,0.6819999999999999,0.14,0.02,28.674923926782956,0.0,0.0,0.042,3.7326735703245753,0.036,0.431,0.42000000000000004,0.56
10,0.18849479502719924,9.542192095675112,0.017,1.7955523926546042,0.146,0.12505298111577556,0.617,0.074,0.0,26.95682200527727,0.0,0.0,0.042,3.5377365864857793,0.0,0.40595914376426523,0.494,0.56
11,0.151656346749226,9.28271947744517,0.0,1.683092480620155,0.106,0.129,0.429,0.074,0.45330000000000004,27.72447653830123,0.0,0.0,0.0,4.649972463385779,0.0,0.43,0.508312693498452,0.56
12,0.0,10.330895305820071,0.0,1.6028411779121687,0.08,0.1,0.45523371647509575,0.074,0.05,27.02618047730654,0.0,0.0,0.0,4.320572858146213,0.0376,0.51,0.513866464339909,0.39
13,0.0,9.985844546940047,0.0,1.8046547428879678,0.232,0.0,0.3509724770642202,0.074,0.076,26.75473466278319,0.0,0.0,0.0,5.033073570324576,0.0375,0.51,0.516,0.32
14,0.026,10.590497579135006,0.0,1.6495324806201552,0.394,0.0,0.384,0.11199999999999999,0.2362533692722372,26.83537347108314,0.0,0.0,0.0,4.9488672508328575,0.0375,0.62,0.4337358490566038,0.32
15,0.06,11.24536582323422,0.0,1.7482367916302128,0.0,0.0,0.3498198757763975,0.1,0.27377,26.65989493381201,0.0,0.0,0.0,5.853100757365336,0.037899999999999996,0.7181818181818183,0.476,0.32
16,0.0,11.165333006224794,0.0,1.517543662755879,0.0,0.0,0.213,0.0,0.226,26.489804868316806,0.0,0.0,0.0,6.1547184627025215,0.037899999999999996,0.518,0.464,0.32
17,0.06,10.85674101089288,0.0,1.5756224806201553,0.0,0.0,0.16069858541893361,0.19,0.22999999999999998,26.9878354137722,0.0,0.0,0.0,5.433782509295824,0.10940000000000001,0.548,0.442,0.32
18,0.0,10.242428870827268,0.0,1.5038336695112489,0.0,0.0,0.128,0.114,0.198,25.054213947910473,0.0,0.0,0.0,5.028382449160034,0.074,0.548,0.43,0.38521106259097526
19,0.0,10.708410945393572,0.0,1.6811020751328998,0.0,0.0,0.173,0.076,0.0,22.615285533270395,0.0,0.0,0.0,5.869192267459175,0.1,0.518,0.4083091787439614,0.39
