,alfalfa,almond,corn,cotton,field_misc,grain,grape,melon,onion,peach,pepper,pistachio,squash,subtropical_misc,tomato,vegetable_small,walnut
0,5.610404640788824,0.4683852356457667,0.23599834279369608,17.2716251802854,0.8823735021184789,0.5223396584440227,0.382,0.11236041939711665,0.0,0.0,0.0,0.0,0.0,0.0,0.7944130205266982,0.0,0.0
1,7.018911778232608,0.505021697717985,0.2455425667090216,13.80447166849854,0.8564755490969146,0.67328247518251,0.3472936520700664,0.14914519601615092,0.06798866855524079,0.0,0.0,0.0,0.0,0.0,1.2882223344353052,0.0654444134856506,0.0
2,8.085292441275111,0.5708493592337917,0.054,13.94945654699369,0.9990192975108977,0.6539576838655176,0.41594083086294564,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.2767838402580471,0.038,0.0
3,6.6222425272027605,0.5378617260674718,0.11179527559055118,14.758966736433015,0.7370774989643469,0.192,0.3278169205864108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.120839315155443,0.042,0.0
4,5.454237430271237,0.631231972613833,0.0656865464632455,15.013625976398624,0.4001595967886569,0.415,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1176784774644082,0.0,0.0
5,3.344283950150508,0.6357629246443554,0.5960158384226537,13.823383595836283,0.9610000000000001,1.0130229419703105,0.3195336462775854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3176971026983038,0.037,0.0
6,2.1261938448479074,0.8862807646356032,1.0523853209292509,14.394201762886416,0.372,2.6084500369214245,0.387,0.0,0.223,0.002,0.0,0.0,0.0,0.0,1.3996882697794022,0.058,0.0
7,2.225229345623175,1.105618922852984,0.8834423019739702,15.354149384795258,0.245,0.9598870316541744,0.5696133333333332,0.0,0.22066375545851527,0.0,0.0,0.0,0.0,0.0,1.728895924308588,0.193,0.0
8,2.349757737476968,1.5489508956420996,1.2036682297137968,14.87760303414595,0.48064053751399777,0.7107729606268115,0.5158775510204082,0.0,0.7912351763089478,0.0,0.0,0.0,0.0,0.0,0.9436938775510204,0.038,0.0
9,2.402440286098685,1.7510602258469259,0.393842708151932,14.747927240365618,0.5539801324503311,0.10933774834437084,0.7058550251272961,0.0,0.49861681304893346,0.0,0.0,0.0,0.0,0.1902795031055901,1.0681603174603174,0.21450000000000002,0.0
10,2.8479720670391058,1.723,2.1882186804224606,10.15048616790033,0.3088729927007299,0.3440729927007299,1.171908396946565,0.0,0.3881687022900763,0.0,0.0,0.0,0.0,0.0,1.1171,0.0,0.0
11,3.969740541722725,2.12515464529534,2.2454286848487555,6.788079705382054,0.175,1.5139660078002253,0.6748227848101267,0.0,0.528014064697609,0.0,0.0,0.388,0.007,0.0,2.6028935654431646,0.029,0.0
12,5.804698389458272,2.245898801429665,1.0286,6.495255370708083,0.078,0.8261111111111111,0.6838596491228071,0.0,0.3788084092357507,0.0,0.0,0.3653,0.0,0.1743508771929825,3.244517391741328,0.216,0.0
13,4.730052405167209,2.1666964418975234,0.5544386390953467,7.44809244744871,0.0,0.5926552130438425,1.2713993850510776,0.0,1.4733938521391894,0.0,0.0,0.3803,0.0,0.4095235953337474,5.125306491718228,0.12324152910512598,0.0
14,2.6256518223304397,2.1354283128322793,0.650235294117647,9.801763766165928,0.005,0.4211345610819129,1.3201489292817006,0.0,1.5627281555588406,0.0,0.0362,0.9579469596084518,0.0,0.37777445609988697,4.369737742922914,0.0,0.0
15,4.026289173974268,2.71356384777872,1.725082208056524,6.52973844968575,0.0,1.0099641182996109,2.1368265111420968,0.0,1.0082373408769447,0.0,0.0,1.3042156337747892,0.005,0.3879409998196038,3.395031716591691,0.095,0.0
16,5.3771059020501255,3.1880447609347122,0.6608179959100206,4.947116003483703,0.1498074074074074,0.37481799591002046,2.439973981467002,0.0,2.190421803238449,0.0,0.0,1.7018639766543482,0.0,0.49919146196711317,3.204488710977097,0.098,0.0
17,4.2901525787215435,3.2716353434037075,0.5843448040885861,5.168322008520097,0.00817717206132879,0.26752981260647357,2.5018730209711464,0.0,1.918730668686583,0.0,0.08,1.5081105961679995,0.0,0.32704698309993163,3.33180384301843,0.12722316865417377,0.0
18,3.4362705978981816,5.540264398813978,0.2341504286827748,4.196976280590851,0.0,0.29315042868277474,2.1906365828317016,0.0,2.2831948557813644,0.0,0.0,2.8515820127869733,0.0,0.20469585253456227,3.0680315933531914,0.05,0.07382696804364769
19,3.825916546327968,7.2517711583717555,0.20800000000000002,3.2034814680995973,0.0,0.065,1.9422157706748777,0.0,1.6738245089161747,0.0,0.057,3.006456176815466,0.0,0.111,2.4798743707941613,0.1275,0.148
