7.32E+06,1.20E+07,5.10E+06,3.95E+06,9.64E+05,1.43E+06,1.43E+06,2.50E+06,3.72E+06,2.08E+06,4.43E+06,3.84E+06,1.12E+06,6.95E+05,1.46E+06,4.04E+07,1.15E+07
9.39E+06,1.37E+07,5.66E+06,4.38E+06,1.05E+06,1.66E+06,1.66E+06,2.78E+06,3.70E+06,2.10E+06,3.10E+06,2.67E+06,5.98E+05,1.81E+05,1.06E+06,4.61E+07,7.60E+06
3.39E+06,7.57E+06,1.41E+06,1.64E+06,1.29E+05,4.68E+05,4.68E+05,5.96E+05,9.99E+05,4.99E+05,1.12E+06,1.00E+06,2.47E+05,7.31E+04,3.98E+05,1.72E+07,2.84E+06
8.16E+06,1.56E+07,5.28E+06,4.62E+06,6.77E+05,1.30E+06,1.30E+06,2.11E+06,3.04E+06,1.60E+06,3.14E+06,2.85E+06,8.51E+05,3.37E+05,1.23E+06,4.37E+07,8.40E+06
4.04E+06,8.33E+06,2.99E+06,2.15E+06,3.88E+05,7.99E+05,8.00E+05,1.23E+06,1.79E+06,9.61E+05,1.83E+06,1.61E+06,3.59E+05,1.03E+05,4.44E+05,2.35E+07,4.35E+06
6.99E+06,9.78E+06,5.45E+06,3.54E+06,8.77E+05,1.52E+06,1.52E+06,2.35E+06,3.38E+06,2.11E+06,3.58E+06,2.76E+06,5.46E+05,1.73E+05,9.82E+05,3.75E+07,8.04E+06
2.37E+06,6.99E+06,1.41E+06,1.28E+06,1.37E+05,4.29E+05,4.29E+05,5.94E+05,1.06E+06,5.02E+05,1.02E+06,9.32E+05,2.01E+05,4.49E+04,3.11E+05,1.52E+07,2.50E+06
2.98E+06,7.28E+06,1.54E+06,1.56E+06,1.38E+05,4.16E+05,4.15E+05,6.00E+05,1.07E+06,4.40E+05,8.89E+05,9.59E+05,2.29E+05,5.29E+04,5.65E+05,1.64E+07,2.69E+06
6.81E+06,1.32E+07,3.94E+06,2.92E+06,5.37E+05,1.08E+06,1.08E+06,1.77E+06,2.61E+06,1.41E+06,2.90E+06,2.49E+06,4.82E+05,1.34E+05,8.76E+05,3.54E+07,6.88E+06
5.58E+06,1.30E+07,3.17E+06,2.76E+06,4.15E+05,8.42E+05,8.42E+05,1.30E+06,2.05E+06,1.10E+06,1.95E+06,1.77E+06,3.70E+05,9.51E+04,5.78E+05,3.11E+07,4.77E+06
6.28E+06,1.03E+07,4.01E+06,3.38E+06,5.87E+05,1.07E+06,1.07E+06,1.71E+06,2.66E+06,1.51E+06,2.83E+06,3.04E+06,7.95E+05,3.12E+05,9.34E+05,3.25E+07,7.91E+06
4.46E+06,6.96E+06,2.76E+06,2.36E+06,3.90E+05,8.33E+05,8.33E+05,1.32E+06,2.07E+06,1.07E+06,1.85E+06,1.75E+06,4.36E+05,1.15E+05,6.77E+05,2.31E+07,4.83E+06
2.71E+06,5.47E+06,1.60E+06,1.41E+06,2.29E+05,5.54E+05,5.54E+05,8.51E+05,1.56E+06,8.77E+05,1.60E+06,1.46E+06,2.45E+05,5.16E+04,5.22E+05,1.58E+07,3.88E+06
3.57E+06,7.66E+06,2.14E+06,1.95E+06,2.58E+05,5.78E+05,5.79E+05,7.45E+05,1.26E+06,6.39E+05,1.17E+06,1.09E+06,2.46E+05,5.74E+04,3.80E+05,1.94E+07,2.95E+06
3.10E+06,6.38E+06,1.86E+06,1.84E+06,2.14E+05,5.22E+05,5.22E+05,8.11E+05,1.47E+06,7.34E+05,1.37E+06,1.43E+06,3.59E+05,1.19E+05,5.62E+05,1.75E+07,3.84E+06
5.15E+06,9.53E+06,2.92E+06,2.69E+06,3.69E+05,8.22E+05,8.24E+05,1.21E+06,1.92E+06,9.99E+05,1.59E+06,1.49E+06,3.42E+05,8.22E+04,4.30E+05,2.64E+07,3.93E+06
5.24E+06,6.83E+06,3.57E+06,3.18E+06,5.27E+05,9.82E+05,9.83E+05,1.50E+06,2.57E+06,1.45E+06,2.40E+06,2.19E+06,4.75E+05,9.05E+04,9.12E+05,2.68E+07,6.07E+06
2.78E+06,4.78E+06,2.35E+06,1.81E+06,3.29E+05,6.54E+05,6.53E+05,1.06E+06,1.68E+06,8.92E+05,1.59E+06,1.48E+06,3.44E+05,6.97E+04,5.99E+05,1.70E+07,4.08E+06
1.44E+06,3.64E+06,6.35E+05,7.08E+05,5.46E+04,2.21E+05,2.21E+05,2.97E+05,6.02E+05,2.72E+05,4.50E+05,3.99E+05,1.13E+05,3.72E+04,1.69E+05,8.09E+06,1.17E+06
3.06E+06,7.82E+06,2.64E+06,2.03E+06,3.67E+05,8.11E+05,8.11E+05,1.19E+06,1.88E+06,8.89E+05,1.43E+06,1.27E+06,3.18E+05,9.04E+04,3.74E+05,2.15E+07,3.48E+06
3.58E+06,7.07E+06,1.62E+06,2.03E+06,1.70E+05,4.21E+05,4.21E+05,6.62E+05,1.18E+06,6.42E+05,1.21E+06,1.08E+06,2.40E+05,6.01E+04,4.89E+05,1.78E+07,3.09E+06
5.40E+06,1.01E+07,3.52E+06,3.30E+06,4.46E+05,8.75E+05,8.75E+05,1.35E+06,2.06E+06,1.10E+06,2.01E+06,1.94E+06,4.77E+05,1.53E+05,7.27E+05,2.91E+07,5.31E+06
3.90E+06,7.18E+06,2.37E+06,2.23E+06,3.00E+05,6.03E+05,6.01E+05,8.97E+05,1.41E+06,6.79E+05,1.07E+06,8.85E+05,1.85E+05,5.09E+04,2.47E+05,2.02E+07,2.43E+06
2.57E+06,4.85E+06,1.26E+06,1.22E+06,1.14E+05,3.55E+05,3.55E+05,5.20E+05,9.81E+05,4.81E+05,8.48E+05,8.35E+05,2.15E+05,5.37E+04,2.67E+05,1.27E+07,2.22E+06
3.18E+06,5.39E+06,1.54E+06,1.56E+06,1.63E+05,4.49E+05,4.49E+05,7.33E+05,1.16E+06,5.18E+05,8.74E+05,8.64E+05,2.20E+05,6.93E+04,3.35E+05,1.51E+07,2.36E+06
